1	Active	3	1.00	0.70	0.00	0.00	10	1	1	1	English	17	Thai	7	French	0	0	0	0	0.00	0	0.0.0.0	1	0	-------	-------	-------	-------	-------	-------	-------	-------	-------	-------	In process V3.2.3c BETA	0	0	
2	Default	0	0.00	0.00	0.00	0.00	10	0	0	1	English	0	-------	0	-------	0	0	0	0	0.00	0	0.0.0.0	0	0	-------	-------	-------	-------	-------	-------	-------	-------	-------	-------		0	1	
