"MCdb-No";"MCdb-Name";"MCdb-BulkBlankT";"MCdb-DribBlankT";"MCdb-LowLevelDebounceT";"MCdb-RefillingTimeT";"MCdb-NumberOfWP";"MCdb-OIML";"MCdb-WeighingMode";"MCdb-FeederType";"MCdb-NumberOfScale";"MCdb-ReportType";"MCdb-Language1";"MCdb-Lang1Text";"MCdb-Language2";"MCdb-Lang2Text";"MCdb-Language3";"MCdb-Lang3Text";"MCdb-PortCOM2Cfg";"MCdb-PortUSBCfg";"MCdb-AutoSaveCorrection";"MCdb-DischReqDebouncing";"MCdb-PortETHCfg";"MCdb-PrinterIP";"MCdb-DischOnDoorSensor";"MCdb-DribbleOutOnInBulk";"MCdb-SerialNbr";"MCdb-PlantLineName";"MCdb-CustomerName";"MCdb-CustomerLocation";"MCdb-SupportPhoneNbr";"MCdb-SupportFaxNbr";"MCdb-SupportEmail";"MCdb-PartsPhoneNbr";"MCdb-PartsFaxNbr";"MCdb-PartsEmail"
         1;"Active";0.70;0.30;0.00; 0.00;        10;0;         0;         1;         1;         0;         1;"English";         1;"English";         1;"English";         0;         0;1;0.00;         0;"192.168.25.100";1;1;"1707916";"BANGKOK";"PTC";"THAILAND";"-------";"-------";"-------";"-------";"-------";"-------"
         2;"Default";0.00;0.00;0.00; 0.00;        10;0;         0;         0;         0;         0;         1;"English";         0;"-------";         0;"-------";         0;         0;0;0.00;         0;"0.0.0.0";0;0;"-------";"-------";"-------";"-------";"-------";"-------";"-------";"-------";"-------";"-------"
