1	Active	10	2	0.00	0.0	1.00	60.00	0.00	0	0.00	0.00	0.300	1	0	0	1.9	1	08:00	17:00	20:00	05:00	0.00	0.00	0.00	0.00	0	4	80000.00	60.00	100	0	
2	Default	0	0	0.00	0.0	0.00	0.00	0.00	0	0.00	0.00	0.000	0	0	0	0.0	0					0.00	0.00	0.00	0.00	0	0	0.00	0.00	0	0	
