1	Active	0.70	0.30	0.00	0.00	10	0	0	1	1	0	1	English	1	English	1	English	0	0	1	0.00	0	192.168.25.100	1	1	1707916	BANGKOK	PTC	THAILAND	-------	-------	-------	-------	-------	-------	In process V2.2.0	0	
2	Default	0.00	0.00	0.00	0.00	10	0	0	0	0	0	1	English	0	-------	0	-------	0	0	0	0.00	0	0.0.0.0	0	0	-------	-------	-------	-------	-------	-------	-------	-------	-------	-------		0	
