<; 19601840/1;15.00;kg;16.83;>o<;0.00;kg/h;16.83;0;101658;20201117;>
<; 19601840/1;9.18;kg;14.81;>o<;2939.97;kg/h;31.64;0;101713;20201117;>
<; 19601840/1;15.00;kg;14.97;>o<;0.00;kg/h;46.61;1;103250;20201117;>
<; 19601840/1;9.78;kg;15.48;>o<;840.94;kg/h;62.09;2;103309;20201117;>
<; 19601840/1;9.57;kg;9.98;>o<;3122.63;kg/h;72.07;3;103323;20201117;>
<; 19601840/1;15.00;kg;9.32;>o<;1077.99;kg/h;81.39;4;103401;20201117;>
<; 19601840/1;15.00;kg;14.87;>o<;0.00;kg/h;14.87;1;103723;20201117;>
<; 19601840/1;9.90;kg;15.33;>o<;1199.44;kg/h;30.20;2;103733;20201117;>
<; 19601840/1;10.18;kg;9.62;>o<;3460.80;kg/h;39.82;3;103748;20201117;>
<; 19601840/1;15.00;kg;9.51;>o<;1217.38;kg/h;49.33;4;103814;20201117;>
<; 19601840/1;15.00;kg;14.82;>o<;0.00;kg/h;14.82;1;110124;20201117;>
<; 19601840/1;9.82;kg;15.54;>o<;2534.60;kg/h;30.36;2;110134;20201117;>
<; 19601840/1;9.87;kg;9.77;>o<;3587.05;kg/h;40.13;3;110148;20201117;>
<; 19601840/1;15.00;kg;9.41;>o<;2723.44;kg/h;49.54;4;110205;20201117;>
<; 19601840/1;15.00;kg;15.32;>o<;389.58;kg/h;64.86;5;110239;20201117;>
<; 19601840/1;15.00;kg;15.33;>o<;1727.93;kg/h;80.19;6;110254;20201117;>
<; 19601840/1;9.47;kg;9.88;>o<;3709.91;kg/h;90.07;7;110308;20201117;>
<; 19601840/1;15.00;kg;8.91;>o<;2952.82;kg/h;98.98;8;110323;20201117;>
<; 19601840/1;15.00;kg;15.13;>o<;787.89;kg/h;114.11;9;110346;20201117;>
<; 19601840/1;15.00;kg;15.02;>o<;3787.40;kg/h;129.13;10;110358;20201117;>
<; 19601840/1;7.88;kg;11.97;>o<;4171.46;kg/h;141.10;11;110410;20201117;>
<; 19601840/1;15.00;kg;8.63;>o<;3728.49;kg/h;149.73;12;110422;20201117;>
<; 19601840/1;15.00;kg;15.21;>o<;6.43;kg/h;164.94;13;110602;20201117;>
<; 19601840/1;15.00;kg;15.75;>o<;2240.73;kg/h;180.69;14;110613;20201117;>
<; 19601840/1;9.17;kg;9.87;>o<;4407.78;kg/h;190.56;15;110624;20201117;>
<; 19601840/1;15.00;kg;9.72;>o<;3679.75;kg/h;200.28;16;110636;20201117;>
<; 19601840/1;15.00;kg;14.79;>o<;172.47;kg/h;215.07;17;110717;20201117;>
<; 19601840/1;10.37;kg;14.48;>o<;2750.97;kg/h;229.55;18;110729;20201117;>
<; 19601840/1;11.16;kg;9.57;>o<;4116.96;kg/h;239.12;19;110741;20201117;>
<; 19601840/1;15.00;kg;10.53;>o<;2555.94;kg/h;249.65;20;110801;20201117;>
<; 19601840/1;15.00;kg;15.51;>o<;960.26;kg/h;265.16;21;110841;20201117;>
<; 19601840/1;15.00;kg;14.86;>o<;2919.82;kg/h;280.02;22;110854;20201117;>
<; 19601840/1;10.69;kg;8.94;>o<;3555.29;kg/h;288.96;23;110910;20201117;>
<; 19601840/1;10.69;kg;10.19;>o<;2572.65;kg/h;299.15;24;110923;20201117;>
<; 19601840/1;15.00;kg;15.28;>o<;0.00;kg/h;314.43;25;111242;20201117;>
<; 19601840/1;15.00;kg;15.55;>o<;0.00;kg/h;329.98;26;111314;20201117;>
<; 19601840/1;9.84;kg;14.77;>o<;1796.34;kg/h;344.75;27;111324;20201117;>
<; 19601840/1;9.60;kg;10.08;>o<;3341.28;kg/h;354.83;28;111338;20201117;>
<; 19601840/1;15.00;kg;9.15;>o<;2862.61;kg/h;363.98;29;111352;20201117;>
<; 19601840/1;15.00;kg;15.90;>o<;0.00;kg/h;379.88;30;111508;20201117;>
<; 19601840/1;9.57;kg;14.96;>o<;2686.00;kg/h;394.84;31;111517;20201117;>
<; 19601840/1;9.36;kg;9.78;>o<;3783.18;kg/h;404.62;32;111530;20201117;>
<; 19601840/1;15.00;kg;9.63;>o<;3006.75;kg/h;414.25;33;111547;20201117;>
<; 19601840/1;15.00;kg;15.29;>o<;0.00;kg/h;429.54;34;112040;20201117;>
<; 19601840/1;15.00;kg;15.25;>o<;2188.11;kg/h;444.79;35;112050;20201117;>
<; 19601840/1;3.85;kg;15.61;>o<;3742.77;kg/h;460.40;36;112104;20201117;>
<; 19601840/1;15.00;kg;3.58;>o<;3423.76;kg/h;463.98;37;112119;20201117;>
<; 19601840/1;15.00;kg;15.95;>o<;0.00;kg/h;479.93;38;112506;20201117;>
<; 19601840/1;9.05;kg;15.96;>o<;2636.76;kg/h;495.89;39;112516;20201117;>
<; 19601840/1;8.74;kg;9.35;>o<;3711.58;kg/h;505.24;40;112533;20201117;>
<; 19601840/1;8.74;kg;8.85;>o<;2393.77;kg/h;514.09;41;112550;20201117;>
<; 19601840/1;15.00;kg;15.81;>o<;0.00;kg/h;529.90;42;133340;20201117;>
<; 19601840/1;15.00;kg;16.28;>o<;1525.86;kg/h;546.18;43;133348;20201117;>
<; 19601840/1;2.22;kg;15.69;>o<;3548.78;kg/h;561.87;44;133401;20201117;>
<; 19601840/1;15.00;kg;1.57;>o<;3794.95;kg/h;563.44;45;133415;20201117;>
<; 19601840/1;15.00;kg;15.64;>o<;3640.72;kg/h;579.08;46;133430;20201117;>
<; 19601840/1;9.21;kg;15.94;>o<;4543.10;kg/h;595.02;47;133439;20201117;>
