1	Active	1	1	1	10.0	0	0	2.00	100.00	1.00	0.00	5.00	0.100	0	0	0.00	0.0	80000.00	60.00	4	100000	08:00	17:00	20:00	05:00	0.00	0.00	0	0	0.00	0.00	0	0	
2	Default	0	0	0	0.0	0	0	0.00	0.00	0.00	0.00	0.00	0.000	0	0	0.00	0.0	0.00	0.00	0	0					0.00	0.00	0	0	0.00	0.00	0	0	
