"MPdb-No";"MPdb-Name";"MPdb-SampleFreq";"MPdb-SampleSize";"MPdb-CutoffCorr";"MPdb-DFWeightCorr";"MPdb-StabTimeLimit";"MPdb-SlowCycleTime";"MPdb-DischDoorMaxTime";"MPdb-FlexCounter";"MPdb-FeedGateMaxTime";"MPdb-OutOfTolTime";"MPdb-FeedRateFilterRatio";"MPdb-ZeroFreq";"MPdb-CorrOnAverage";"MPdb-CutoffCorrLimit";"MPdb-ZeroLimit";"MPdb-AutoZeroOff";"MPdb-EndOfShift1";"MPdb-EndOfShift2";"MPdb-EndOfShift3";"MPdb-EndOfShift4";"MPdb-FlexSP1";"MPdb-FlexSP2";"MPdb-FlexT1";"MPdb-FlexT2";"MPdb-ScreenSaverTime";"MPdb-StdFilterSize";"MPdb-MaxFeedRate";"MPdb-LowFeedingTime";"MPdb-MaintCycle";"MPdb-FailSafe"
         1;"Active";         1;         1;  2.50;2.5; 1.00;*0.00; 1.20;     0; 0.00;   0.00;0.300;         1;0;         5;1.9;1;"08:00";"17:00";"20:00";"05:00";  0.00;  0.00; 0.00; 0.00;         0;         4;  80000.00;*.00;   100;0
         2;"Default";         0;         0;  0.00;0.0; 0.00; 0.00; 0.00;     0; 0.00;   0.00;0.000;         0;0;         0;0.0;0;"";"";"";"";  0.00;  0.00; 0.00; 0.00;         0;         0;      0.00;0.00;     0;0
