1	Active	0.70	0.30	0.00	0.00	10	0	1	1	0	1	English	17	Thai	7	French	0	0	0	0.00	0	192.168.25.100	0	0	1707916	BANGKOK	PTC	THAILAND	-------	-------	-------	-------	-------	-------	
2	Default	0.00	0.00	0.00	0.00	10	0	0	0	0	1	English	0	-------	0	-------	0	0	0	0.00	0	0.0.0.0	0	0	-------	-------	-------	-------	-------	-------	-------	-------	-------	-------	
