1	Active	1.00	0.70	0.00	0.00	10	0	3	1	1	1	English	14	Russian	17	Thai	3	0	0	0.00	0	127.0.0.2	0	1	-------	-------	-------	-------	-------	-------	-------	-------	-------	-------	
2	Default	0.00	0.00	0.00	0.00	10	0	0	0	0	1	English	0	-------	0	-------	0	0	0	0.00	0	0	0	0	-------	-------	-------	-------	-------	-------	-------	-------	-------	-------	
